HYD_YEAR,Q
3323,3930.18
3324,3313.99
3325,4774.05
3326,9972.08
3327,4426.23
3328,5840.35
3329,11298.88
3330,6295.94
3331,4895.27
3332,9717.65
3333,7023.53
3334,9355.92
3335,3154.1
3336,8640.58
3337,2928.07
3338,5901.33
3339,7560.65
3340,8332.78
3341,3696.93
3342,5598.6
3343,9694.27
3344,8232.07
3345,4379.51
3346,5298.22
3347,16054.83
3348,6717.76
3349,6572.01
3350,12572.43
3351,3068.66
3352,5655.09
3353,4611.46
3354,5721.8
3355,6584.67
3356,4031.64
3357,7400.28
3358,3260.44
3359,8065.71
3360,7385.61
3361,7480.09
3362,10179.27
3363,5703.14
3364,8928.21
3365,5546.79
3366,7095.63
3367,4606.07
3368,8271.6
3369,13324.3
3370,7017.59
3371,9529.92
3372,10480.6
3373,5987.88
3374,8393.04
3375,6853.36
3376,5835.74
3377,10624.08
3378,6143.39
3379,3399.85
3380,7225.65
3381,5452.28
3382,4037.12
3383,6214.0
3384,4526.7
3385,3531.06
3386,7070.6
3387,8140.07
3388,6038.36
3389,4931.85
3390,5252.94
3391,9460.84
3392,8174.75
3393,4752.94
3394,11245.11
3395,7591.43
3396,8557.77
3397,4105.35
3398,5560.91
3399,6706.17
3400,3488.44
3401,7292.17
3402,7193.93
3403,6347.14
3404,10376.11
3405,7487.28
3406,16720.49
3407,8451.7
3408,6240.63
3409,6601.57
3410,4328.25
3411,5211.05
3412,5558.18
3413,5570.85
3414,10127.65
3415,6635.67
3416,4731.93
3417,5992.34
3418,3634.25
3419,5402.04
3420,4941.0
3421,12145.43
3422,8012.07
3423,7726.33
3424,5552.88
3425,5912.84
3426,5834.24
3427,8103.43
3428,2808.96
3429,5425.17
3430,8393.94
3431,7088.5
3432,7235.94
3433,7593.14
3434,9356.01
3435,5707.92
3436,6991.14
3437,6502.24
3438,3402.19
3439,9472.62
3440,7222.54
3441,6196.13
3442,5697.43
3443,3076.96
3444,6818.69
3445,7266.32
3446,3356.99
3447,3746.4
3448,2556.6
3449,5518.98
3450,2965.43
3451,3266.24
3452,6703.19
3453,6174.1
3454,2251.75
3455,3539.4
3456,7212.85
3457,7285.63
3458,5233.52
3459,4379.09
3460,6297.24
3461,8660.62
3462,6831.49
3463,6808.21
3464,9082.14
3465,7459.83
3466,4355.53
3467,7066.94
3468,5440.22
3469,6488.68
3470,14432.84
3471,4791.24
3472,8073.03
3473,7817.74
3474,8597.42
3475,11162.76
3476,9377.88
3477,4894.85
3478,7502.04
3479,5168.59
3480,10128.39
3481,5704.66
3482,12913.95
3483,3673.72
3484,8773.5
3485,6672.49
3486,5718.79
3487,4545.25
3488,7970.81
3489,5109.81
3490,9485.69
3491,3374.15
3492,7354.09
3493,8856.46
3494,5272.51
3495,10848.24
3496,5951.26
3497,6331.15
3498,8395.92
3499,5277.09
3500,5098.94
3501,6111.76
3502,6533.79
3503,5837.73
3504,13372.0
3505,10169.52
3506,4943.36
3507,4598.62
3508,9992.0
3509,4025.78
3510,8854.39
3511,9529.19
3512,5814.47
3513,4462.73
3514,7262.36
3515,4766.49
3516,3217.56
3517,4747.4
3518,5518.83
3519,6278.15
3520,5473.44
3521,7037.23
3522,8017.54
3523,10209.26
3524,4887.87
3525,3537.97
3526,5733.59
3527,9729.67
3528,5731.07
3529,7651.48
3530,3585.12
3531,5348.26
3532,7935.37
3533,8531.18
3534,5067.68
3535,4351.06
3536,6316.76
3537,3812.1
3538,6454.22
3539,7168.12
3540,5278.41
3541,5884.35
3542,6847.56
3543,5908.26
3544,3665.68
3545,6532.54
3546,8983.14
3547,7640.59
3548,5465.99
3549,8212.14
3550,5527.55
3551,11965.83
3552,9436.07
3553,6469.96
3554,7340.46
3555,8924.22
3556,4310.06
3557,4888.21
3558,4144.11
3559,3794.82
3560,8215.8
3561,10268.87
3562,6123.78
3563,7119.15
